📡  综合,#genre#
🔥热辣滚烫TC,https://vip.ffzy-online2.com/20240216/48497_7124419f/2000k/hls/mixed.m3u8
🔥热辣滚烫TC,https://vip.ffzy-online2.com/20240216/48497_7124419f/index.m3u8
🔥目中无人2,https://yzzy1.play-cdn1.com/20240210/15952_004b2a47/2000k/hls/index.m3u8
破战,https://yzzy1.play-cdn20.com/20240216/17014_96791511/2000k/hls/mixed.m3u8
缉恶,https://yzzy1.play-cdn1.com/20240212/16107_ce5c69e6/2000k/hls/index.m3u8
狄仁杰之通天玄案,https://vip.ffzy-online6.com/20240224/26792_f29d9bc5/index.m3u8
热血地雷战,https://s5.bfengbf.com/video/rexuedileizhan/HD/index.m3u8
瞒天过海,https://s5.bfbfvip.com/video/mantianguohai/HD/index.m3u8
非诚勿扰3,https://yzzy1.play-cdn20.com/20240210/16640_403958bf/2000k/hls/index.m3u8
史上最强弟子,https://yzzy.play-cdn19.com/20240209/19332_06c6451f/2000k/hls/index.m3u8
长津湖之水门桥,https://cdn17.yzzy-online.com/20230817/16230_2dbddb92/2000k/hls/index.m3u8
照明商店,https://yzzy.play-cdn19.com/20240213/19794_4de23d38/2000k/hls/index.m3u8
年会不能停,https://yzzy.play-cdn19.com/20240213/19788_da07138c/2000k/hls/index.m3u8
[美]养蜂人抢先,https://www.yzzy.play-cdn20.com/20240130/14212_512dac09/2000k/hls/index.m3u8
大冒险王之金丝玉盘,https://s5.bfbfvip.com/video/damaoxianwangzhijinsiyupan/HD/index.m3u8
挡马夺刀,https://www.yzzy.play-cdn20.com/20240125/13928_02451c32/2000k/hls/index.m3u8
志愿军：雄兵出击,https://dghls.mcloud.139.com/hls/L1c36c04a53255f72579c1f62fe2ad8e1b/single/video/0/376/index.m3u8
不日成婚2,https://yzzy.play-cdn19.com/20231214/10520_b17d82c4/2000k/hls/index.m3u8
好像也没那么热血沸腾,https://yzzy.play-cdn16.com/20231213/27660_19c61f1e/2000k/hls/index.m3u8
前任4.英年早婚,https://s5.bfbfvip.com/video/qianren4yingnianzaohun/HD/index.m3u8
蜡笔小新：新次元！超能力大决战,https://yzzy1.play-cdn1.com/20240307/19019_a2b2d9c5/index.m3u8
🔥功夫熊猫4,https://v10.ppsm3u8.com/202403/11/QEqiYXc3FP3/video/index.m3u8
🔥功夫熊猫4,https://64.32.20.246/play/mepvR7Qb/index.m3u8
🔥机器人之梦,https://yzzy1.play-cdn20.com/20240220/17247_5b460634/index.m3u8
🔥灌篮高手电影版,https://yzzy1.play-cdn20.com/20240307/19070_1e7c01d6/2000k/hls/mixed.m3u8
🔥大雨,https://v.cdnlz12.com/20240302/12299_990a3e77/2000k/hls/mixed.m3u8
🔥一人之下·锈铁重现,https://s5.bfbfvip.com/video/yirenzhixiaxiutiezhongxian/%E4%B8%AD%E6%96%87%E9%85%8D%E9%9F%B3/index.m3u8
🔥熊出没·逆转时空TC,https://s5.bfbfvip.com/video/xiongchumeinizhuanshikong/%E4%BB%85%E5%B0%9D%E9%B2%9C/index.m3u8
星愿,https://v.cdnlz12.com/20240123/11057_cb0db3f7/2000k/hls/mixed.m3u8
飞鸭向前冲,https://www.yzzy.play-cdn1.com/20240129/14669_4dfca98a/2000k/hls/index.m3u8
火神之天启之子,https://v.cdnlz12.com/20240129/11187_fc414c3b/2000k/hls/mixed.m3u8
爱丽丝和特蕾丝的梦幻工厂,https://v.cdnlz3.com/20240115/22790_1d9c990e/2000k/hls/mixed.m3u8
正义联盟：无限地球危机(上),https://v.cdnlz3.com/20240109/22700_37c883c6/2000k/hls/mixed.m3u8
中国惊奇先生,https://ukzy.ukubf3.com/20231130/QdNgsBch/2000kb/hls/index.m3u8
蜥蜴伯伯里奥,https://v.cdnlz2.com/20231121/26945_75f8dadc/2000k/hls/mixed.m3u8
小鸡快跑2.逃出鸡块工厂,https://cdn1.vip-vip-yzzy.com/20231215/9445_34fbf058/2000k/hls/index.m3u8
奇迹少女,https://vip1.lz-cdn1.com/20230730/21518_6fd8d0ba/2000k/hls/mixed.m3u8
画江湖之天罡传,https://v.cdnlz3.com/20231229/22519_52852c99/2000k/hls/mixed.m3u8
贝肯熊3.火星任务,https://dghls.mcloud.139.com/hls/LHb543a227b8caf4b2408f7090cb44e1e3/single/video/0/480/index.m3u8
汪汪队-超能大冒险,https://dghls.mcloud.139.com/hls/LD6b7834255e4ada4c7f180247f86bad81/single/video/0/480/index.m3u8
小淘气尼古拉,https://cdn1.vip-vip-yzzy.com/20240115/12177_fde5f73e/2000k/hls/index.m3u8
茶啊二中,https://v.cdnlz3.com/20230919/21729_c23ad792/2000k/hls/mixed.m3u8
茶啊二中,https://ukzyvod3.ukubf5.com/20230920/bFbbhuw2/2000kb/hls/index.m3u8
长安三万里,https://yzzy.play-cdn1.com/20230928/1059_b74249f1/2000k/hls/index.m3u8
流浪狗,https://v.cdnlz12.com/20230906/9963_8d8817e2/2000k/hls/mixed.m3u8
疯了！桂宝之三星夺宝,https://vip1.lz-cdn1.com/20230813/21783_646b079f/2000k/hls/mixed.m3u8
桂宝之爆笑闯宇宙,https://vip1.lz-cdn1.com/20220428/3569_dab66277/1200k/hls/mixed.m3u8
美猴王,https://vip.lz-cdn12.com/20230818/9391_b73195aa/2000k/hls/mixed.m3u8
疯狂元素城,https://vip15.play-cdn15.com/20230816/23740_a2af7599/2000k/hls/index.m3u8
名侦探柯南灰原哀物语～黑铁的神秘列车,https://vip15.play-cdn15.com/20230710/18826_c743dc6d/2000k/hls/index.m3u8
蜘蛛侠：纵横宇宙,https://vip.lz-cdn16.com/20230810/34698_236177ad/2000k/hls/mixed.m3u8
正义联盟：战争世界,https://vip.ffzyread1.com/20230718/15455_220c0d0b/index.m3u8
熊出没·伴我熊芯,https://hd.lz-cdn18.com/20230416/1902_adf3668b/2000k/hls/mixed.m3u8
魔术师的大象,https://vip.lz-cdn3.com/20230318/18175_6ae56259/1800k/hls/mixed.m3u8
破坏之王,https://alimov2.a.kwimgs.com/upic/2023/02/04/20/BMjAyMzAyMDQyMDQ3NDZfMTQ1NzgzMzI4N185NTQ1MTAyMTAzNV8yXzM=_b_B51d1a6589f53bbebd85774509db12531.mp4
情圣,https://alimov2.a.kwimgs.com/upic/2021/12/28/14/BMjAyMTEyMjgxNDQ5NDVfNDAzMDAxOTlfNjM2Nzg0OTIxNDBfMF8z_b_B28dfe9b393ebb627a242e07836db75a9.mp4
神话,https://alimov2.a.kwimgs.com/upic/2022/05/24/15/BMjAyMjA1MjQxNTM2NDNfNDAzMDAxOTlfNzUxNTgwNzIyMzZfMF8z_b_B7752f80894975f2b5bdb438c76f1e226.mp4
最佳拍档,https://alimov2.a.kwimgs.com/upic/2021/01/22/13/BMjAyMTAxMjIxMzQ2MDdfNjYzODg4MTI1XzQyNzg1NzIxNTk2XzBfMw==_b_B5719412df739dad48d21da9de0e4e673.mp4
精武门李小龙版,https://alimov2.a.kwimgs.com/upic/2022/04/17/20/BMjAyMjA0MTcyMDM3MjVfNjE2NzgxMTQwXzcyMzEyNTMzNzkwXzBfMw==_b_Bc1f73f831b0525d20f66cb2e61747e9a.mp4
战狼,https://alimov2.a.kwimgs.com/upic/2022/04/21/18/BMjAyMjA0MjExODMxMjZfNjE2NzgxMTQwXzcyNTg2NTUzNjAyXzBfMw==_b_B1b9c98c230308552087753df413a78de.mp4
战狼2,http://jsmov2.a.yximgs.com/bs3/video-hls/5195746623713842964_hlsb.m3u8
奇谋妙计五福星,https://txmov2.a.kwimgs.com/upic/2023/01/06/20/BMjAyMzAxMDYyMDUxMzJfNjE2NzgxMTQwXzkyOTIwMDI3NTkyXzBfMw==_b_B4978700b0026d1cd7e54c75330d16103.mp4
Beyond,https://alimov2.a.kwimgs.com/upic/2022/04/28/20/BMjAyMjA0MjgyMDUwMzJfNjE2NzgxMTQwXzczMTI1MTY2MTM3XzBfMw==_b_B1031f8a2951c561d54ad3005d1f3065b.mp4
少年黄飞鸿之铁马骝,https://alimov2.a.kwimgs.com/upic/2022/06/17/20/BMjAyMjA2MTcyMDI1MTlfNjE2NzgxMTQwXzc2OTg2MzExMTg5XzBfMw==_b_Bec93a649a1e422c2478e7e3c6cbbb072.mp4
飞鹰计划,https://txmov2.a.kwimgs.com/upic/2023/01/26/21/BMjAyMzAxMjYyMTA1MDhfNjE2NzgxMTQwXzk0Njg2MDk5ODI1XzBfMw==_b_B9b44ba820eae6f0dea91b4fb95235036.mp4
男儿本色,https://txmov2.a.kwimgs.com/upic/2022/04/21/20/BMjAyMjA0MjEyMDI4MDlfNjE2NzgxMTQwXzcyNTk2OTA3NTQ0XzBfMw==_b_Bdc7c9f0dcce7b2d080bdc1cf46a07143.mp4
杀破狼,https://txmov2.a.kwimgs.com/upic/2022/04/21/19/BMjAyMjA0MjExOTA5MzJfNjE2NzgxMTQwXzcyNTg5NzE1MzQ2XzBfMw==_b_B0e8b48a882f59d4e189ed0e2aa379843.mp4
一个人的武林,https://txmov2.a.kwimgs.com/upic/2022/04/20/19/BMjAyMjA0MjAxOTQyNDhfNjE2NzgxMTQwXzcyNTIwOTU1ODA3XzBfMw==_b_B68e220c3fdf2f09a81fa16462fff899b.mp4
红海行动,https://txmov2.a.kwimgs.com/upic/2022/11/12/10/BMjAyMjExMTIxMDQ4NTZfNDAzMDAxOTlfODg1MjE4NDgwMDhfMF8z_b_B34774b8b02cf460205dcaa5a06eee66b.mp4
鬼打鬼,https://txmov2.a.kwimgs.com/upic/2023/01/20/17/BMjAyMzAxMjAxNzU5NDBfMTQ1NzgzMzI4N185NDA4Nzk4MDYxMV8yXzM=_b_Bb882194091b62f306b3a84ceeaf2f334.mp4
监狱风云,https://txmov2.a.kwimgs.com/upic/2023/01/20/00/BMjAyMzAxMjAwMDI1MDRfMTQ1NzgzMzI4N185NDA0MjI2ODAxN18yXzM=_b_B832d7c635eeb1af33e5163929a56132a.mp4
一眉道人,https://alimov2.a.kwimgs.com/upic/2022/10/26/18/BMjAyMjEwMjYxODU1MjNfMTQ1NzgzMzI4N184NzMwNTMyNjQ3M18yXzM=_b_B50777cffc06d64858c9e69c0fab37f5c.mp4
僵尸叔叔,https://alimov2.a.kwimgs.com/upic/2023/01/20/00/BMjAyMzAxMjAwMDMwMzRfMTQ1NzgzMzI4N185NDA0MjUwODU5Nl8yXzM=_b_Bb1db245a669fa661fc6c040411f2131b.mp4
僵尸先生,https://txmov2.a.kwimgs.com/upic/2023/01/20/00/BMjAyMzAxMjAwMDI4MjJfMTQ1NzgzMzI4N185NDA0MjQxNjg2NV8yXzM=_b_B038ad5f706c5fc85680b21b618040964.mp4
不二神探,https://txmov2.a.kwimgs.com/upic/2022/02/18/20/BMjAyMjAyMTgyMDQ5MTVfMTQ1NzgzMzI4N182Nzg4Nzc3NzUwMF8yXzM=_b_B2594bd6b3d6eae333f55f743e3257502.mp4
银河奥特曼剧场版,https://txmov2.a.kwimgs.com/upic/2022/05/03/20/BMjAyMjA1MDMyMDQ5MzBfMTQ1NzgzMzI4N183MzU3MTUyMTY4M18yXzM=_b_B467ec882106627da0a5821421cde75bd.mp4
开心鬼撞鬼,https://alimov2.a.kwimgs.com/upic/2022/03/08/22/BMjAyMjAzMDgyMjIyNThfMTQ1NzgzMzI4N182OTIwOTM2NzA5Ml8yXzM=_b_Baa75ee4489ef6a4eeea7782ede31a8ed.mp4
开心鬼救开心鬼,https://alimov2.a.kwimgs.com/upic/2022/03/01/20/BMjAyMjAzMDEyMDUwNDJfMTQ1NzgzMzI4N182ODY4ODA4ODc5N18yXzM=_b_B414019fb180b16ee664b5948a4ea0620.mp4
黄飞鸿之王者之风,https://alimov2.a.kwimgs.com/upic/2021/11/06/17/BMjAyMTExMDYxNzE1MzRfMTQ1NzgzMzI4N182MDM2MDU4MTU3MF8yXzM=_b_Bc78ef882118f774e4ca6517aea188383.mp4
黄飞鸿之龙城歼霸,https://txmov2.a.kwimgs.com/upic/2021/11/04/19/BMjAyMTExMDQxOTQ0NThfMTQ1NzgzMzI4N182MDI0Mjg1MDA3NF8yXzM=_b_Bfafd4b1196edf6b2fdc228d4295b8e45.mp4
警察故事续集,http://jsmov2.a.yximgs.com/bs3/video-hls/5207568637401250631_hlsb.m3u8
警察故事3：超级警察,https://txmov2.a.kwimgs.com/upic/2022/05/24/18/BMjAyMjA1MjQxODIxNTdfNDAzMDAxOTlfNzUxNjc2NDI5NjVfMF8z_b_B56696e4a122ac656a6b037fce6c92bd5.mp4
新警察故事,http://jsmov2.a.yximgs.com/bs3/video-hls/5220235015225277883_hlsb.m3u8
逃学威龙,https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTQ3MzhfNDAzMDAxOTlfNjM2NjkzODQ1MjJfMF8z_b_B186b730477418284a4f7299850bde89c.mp4
杀手之王,https://alimov2.a.kwimgs.com/upic/2022/01/05/14/BMjAyMjAxMDUxNDAzMjZfNDAzMDAxOTlfNjQyNjQzNzY2MTdfMF8z_b_Be4fd7ad442a507011ff92266c08e87df.mp4
天若有情,https://txmov2.a.kwimgs.com/upic/2021/02/16/09/BMjAyMTAyMTYwOTI5NDRfNDAzMDAxOTlfNDQ0MjI0Mjk3ODFfMF8z_b_B73c61cc5ef4171eb35ea2f62d6da20d7.mp4
龙兄虎弟,https://alimov2.a.kwimgs.com/upic/2021/12/28/14/BMjAyMTEyMjgxNDA4MDlfNDAzMDAxOTlfNjM2NzY1MjQ3MDhfMF8z_b_Baa4923f45733317572d2c9ba6d2a04ab.mp4
无间道,https://alimov2.a.kwimgs.com/upic/2021/02/06/11/BMjAyMTAyMDYxMTM1MzVfNDAzMDAxOTlfNDM2NzUxOTUzMTJfMF8z_b_Bb75b55fb1b6d6ca9c7b6f491ac11b800.mp4
无间道2,https://alimov2.a.kwimgs.com/upic/2021/02/09/10/BMjAyMTAyMDkxMDQ0NThfNDAzMDAxOTlfNDM4NTkyODc0MjhfMF8z_b_Bce206fcc2f84121a4d887259d7c5100b.mp4
唐伯虎点秋香,https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTM0NDRfNDAzMDAxOTlfNjM2Njg3NzI0OTVfMF8z_b_Ba0f238aca7a4a8861a3919b78a536de3.mp4
整蛊专家,https://alimov2.a.kwimgs.com/upic/2021/12/28/14/BMjAyMTEyMjgxNDM1NDdfNDAzMDAxOTlfNjM2Nzc4MjgwMzlfMF8z_b_Be5e535f4f9b90067bec3c5ec9a1457a5.mp4
家有喜事,https://alimov2.a.kwimgs.com/upic/2022/01/06/16/BMjAyMjAxMDYxNjE3MzBfNDAzMDAxOTlfNjQzMzAwNzE0NzdfMF8z_b_Bfa2f67937e3ffe642ec830f3ba79266a.mp4
未来警察,https://alimov2.a.kwimgs.com/upic/2022/01/05/20/BMjAyMjAxMDUyMDAwMTlfNDAzMDAxOTlfNjQyODYyNjE5NTZfMF8z_b_Bab8d3f8d17ea982e1f3ff05809e23d15.mp4
天地雄心,https://alimov2.a.kwimgs.com/upic/2022/01/05/15/BMjAyMjAxMDUxNTEwMzdfNDAzMDAxOTlfNjQyNjc3NTIyMjdfMF8z_b_B2e679fa9d4d35782a94865b95fd818ca.mp4
新上海滩,https://alimov2.a.kwimgs.com/upic/2021/12/28/15/BMjAyMTEyMjgxNTAwMjZfNDAzMDAxOTlfNjM2NzkwMDAxMTNfMF8z_b_Bcc430667a27fbeb6e41a7c69291fab1f.mp4
天若有情3烽火佳人,https://alimov2.a.kwimgs.com/upic/2022/01/05/19/BMjAyMjAxMDUxOTU3MzJfNDAzMDAxOTlfNjQyODYwMzQ1NzVfMF8z_b_Bfad48b3a18ea7de5290a7f17b9838785.mp4
赌侠1999,https://alimov2.a.kwimgs.com/upic/2021/02/07/10/BMjAyMTAyMDcxMDEzMzZfNDAzMDAxOTlfNDM3MzM4MjMzMzBfMF8z_b_B4a59a2352495fc067341ccd71f7682b5.mp4
赌侠2：上海滩赌圣,https://alimov2.a.kwimgs.com/upic/2021/12/27/23/BMjAyMTEyMjcyMzIwNDZfNDAzMDAxOTlfNjM2NTMzOTgyMDRfMF8z_b_B1859f43cccf369395fc5282cad5c2477.mp4
杀破狼·贪狼,https://alimov2.a.kwimgs.com/upic/2022/01/05/19/BMjAyMjAxMDUxOTE2NTVfNDAzMDAxOTlfNjQyODI3Njk4MzZfMF8z_b_B718bb0920440e1ed4367edc19e326630.mp4
赌神,https://alimov2.a.kwimgs.com/upic/2021/12/27/23/BMjAyMTEyMjcyMzIzMDVfNDAzMDAxOTlfNjM2NTM0Nzg0MjVfMF8z_b_B416de4a7a0a838e7949ffe8e6c3dd220.mp4
赌神2,https://txmov2.a.kwimgs.com/upic/2022/06/30/10/BMjAyMjA2MzAxMDQ4MTBfMzQ2ODQ5ODAxXzc3OTU2NDczMDcwXzBfMw==_b_B441bf57459ce6144e88f8567a5fac4ff.mp4
花好月圆,https://alimov2.a.kwimgs.com/upic/2022/01/05/18/BMjAyMjAxMDUxODUzMzhfNDAzMDAxOTlfNjQyODA5OTUyODBfMF8z_b_B432b66e77e5c39e72d79b51c1f66e8b1.mp4
英雄本色,https://alimov2.a.kwimgs.com/upic/2021/02/08/10/BMjAyMTAyMDgxMDE5MDNfNDAzMDAxOTlfNDM3OTYyNTg0ODBfMF8z_b_Be7830adc8a9717b3f56852e2740dd7e0.mp4
快餐车,https://alimov2.a.kwimgs.com/upic/2022/05/24/14/BMjAyMjA1MjQxNDMxNThfNDAzMDAxOTlfNzUxNTQ4Njc1NTFfMF8z_b_Bda14017ed6e581f74bc28af3ac094715.mp4
旺角卡门,https://txmov2.a.kwimgs.com/upic/2021/02/26/14/BMjAyMTAyMjYxNDA0NTJfNDAzMDAxOTlfNDUwNTg2MzczNTZfMF8z_b_B47b4dd965339d865184dcb23b2148e29.mp4
富贵兵团,https://alimov2.a.kwimgs.com/upic/2022/01/05/12/BMjAyMjAxMDUxMjU5MTJfNDAzMDAxOTlfNjQyNjA5NDk4NjdfMF8z_b_Bf8fd9f3431809c1f4a9e906d5b5b38aa.mp4
英雄本色3：夕阳之歌,https://txmov2.a.kwimgs.com/upic/2021/02/14/12/BMjAyMTAyMTQxMjI5MjlfNDAzMDAxOTlfNDQyOTM3MjUyNzVfMF8z_b_B1baaca7c95aa2ad7a088f38c266bceb5.mp4
东京审判,https://alimov2.a.kwimgs.com/upic/2021/12/27/23/BMjAyMTEyMjcyMzI3NTBfNDAzMDAxOTlfNjM2NTM2Mzg0NTBfMF8z_b_B118e89560c193a9c7fae9d00675f4b77.mp4
南京！南京！,https://alimov2.a.kwimgs.com/upic/2022/01/06/21/BMjAyMjAxMDYyMTA3NDFfNDAzMDAxOTlfNjQzNTAzMDkzNDlfMF8z_b_B021b330589e32f534c5b1358801bc147.mp4
一九四二,https://alimov2.a.kwimgs.com/upic/2022/01/05/17/BMjAyMjAxMDUxNzIzMDNfNDAzMDAxOTlfNjQyNzQ5NTE3NTNfMF8z_b_B5f186308ba67a8a0928d92419e728178.mp4
搞定岳父大人,https://alimov2.a.kwimgs.com/upic/2021/12/27/21/BMjAyMTEyMjcyMTU4MjVfNDAzMDAxOTlfNjM2NDkzMTQwMjZfMF8z_b_B727afa5416f0544ce8de91c6b59016aa.mp4
辛亥革命,https://alimov2.a.kwimgs.com/upic/2021/12/28/14/BMjAyMTEyMjgxNDU0NDZfNDAzMDAxOTlfNjM2Nzg3MzAyMjZfMF8z_b_B6e44bdd63685ac9371c4c3ec617011c6.mp4
战国,https://alimov2.a.kwimgs.com/upic/2021/12/28/14/BMjAyMTEyMjgxNDQzNDFfNDAzMDAxOTlfNjM2NzgyMDM0MjdfMF8z_b_Bff6c03bc619a7b8da5b71ad45445c969.mp4
私人订制,https://alimov2.a.kwimgs.com/upic/2022/01/06/21/BMjAyMjAxMDYyMTA5MzhfNDAzMDAxOTlfNjQzNTA0NjA3NzRfMF8z_b_Bf00feda55b69101abc8f785e7ba88847.mp4
警察故事2013,https://txmov2.a.kwimgs.com/upic/2020/12/19/11/BMjAyMDEyMTkxMTE1NTFfNDAzMDAxOTlfNDA5NDA3ODAyNzRfMF8z_b_B4b2d907256032e448d0cfcc80d0a330c.mp4
特殊身份,https://alimov2.a.kwimgs.com/upic/2021/12/28/12/BMjAyMTEyMjgxMjA5MTBfNDAzMDAxOTlfNjM2NzA0MzQzOTNfMF8z_b_Bd7c73056409bd10f6db7d1b38b1e6a76.mp4
扫毒2：天地对决,https://alimov2.a.kwimgs.com/upic/2022/01/05/19/BMjAyMjAxMDUxOTEzNTJfNDAzMDAxOTlfNjQyODI1Mjk5MTNfMF8z_b_Bf4c7aa8e7ce95677d112650c6e5fa5d7.mp4
逆时营救,https://alimov2.a.kwimgs.com/upic/2022/01/05/17/BMjAyMjAxMDUxNzU0MzNfNDAzMDAxOTlfNjQyNzY5MDQyOTZfMF8z_b_B8319ca38b9272dce1cc1d94200d0c57a.mp4
墨攻,https://alimov2.a.kwimgs.com/upic/2022/01/05/17/BMjAyMjAxMDUxNzUyNDdfNDAzMDAxOTlfNjQyNzY3OTA0OTdfMF8z_b_Bc9dd52ef4c169a900fbf9d58eee9c1ec.mp4
冰封：重生之门,https://alimov2.a.kwimgs.com/upic/2021/12/27/21/BMjAyMTEyMjcyMTQ3MTBfNDAzMDAxOTlfNjM2NDg1Nzg0MTVfMF8z_b_Bc0b0ca4f69611e630837203dd5462b7a.mp4
集结号,https://txmov2.a.kwimgs.com/upic/2021/02/24/11/BMjAyMTAyMjQxMTE1MDlfNDAzMDAxOTlfNDQ5MjUwMTc4MzlfMF8z_b_Bf01a6129a3b10870755abbe165e07ae4.mp4
爱情呼叫转移,https://alimov2.a.kwimgs.com/upic/2022/01/06/21/BMjAyMjAxMDYyMTA2NTJfNDAzMDAxOTlfNjQzNTAyNDU2MDRfMF8z_b_B1a1f024faadb0eeabf8df108680d788f.mp4
归来,https://alimov2.a.kwimgs.com/upic/2022/01/05/17/BMjAyMjAxMDUxNzM2MjZfNDAzMDAxOTlfNjQyNzU3NjE4MDNfMF8z_b_Bff7b27b5a9f10ec6cf7a5035749aa710.mp4
制服,https://alimov2.a.kwimgs.com/upic/2021/12/28/14/BMjAyMTEyMjgxNDMyNDZfNDAzMDAxOTlfNjM2Nzc2ODQ0ODlfMF8z_b_B457b40d16622bd0ab9219cd114afbd58.mp4
非诚勿扰,https://alimov2.a.kwimgs.com/upic/2021/12/27/23/BMjAyMTEyMjcyMzEzMTFfNDAzMDAxOTlfNjM2NTMxMjMxMDNfMF8z_b_B43fc7c3434a60c6aef7e236580f9ff80.mp4
黑金,http://jsmov2.a.yximgs.com/bs3/video-hls/5205598319803850893_hlsb.m3u8
悍匪,https://alimov2.a.kwimgs.com/upic/2023/05/15/09/BMjAyMzA1MTUwOTUxMjJfMTAxNTcxMzA4NF8xMDMxMjQ2OTk4OTVfMF8z_b_B40d2d39d1de6f1fb8fecd6200aedb2c5.mp4
中国机长,https://txmov2.a.kwimgs.com/upic/2023/04/30/18/BMjAyMzA0MzAxODA4MjhfMTcwNzIxNjA3NF8xMDE4NzEwMjA1NDJfMF8z_b_B6de6ee41212c67378116157c65bf3038.mp4
少年赌神,http://jsmov2.a.yximgs.com/bs3/video-hls/5253730517743567853_hlsb.m3u8
青蛇,http://jsmov2.a.yximgs.com/bs3/video-hls/5258515616867239871_hlsb.m3u8
醉猴,http://jsmov2.a.yximgs.com/bs3/video-hls/5238249422644739278_hlsb.m3u8
上海滩十三太保,http://jsmov2.a.yximgs.com/bs3/video-hls/5249789878426449116_hlsb.m3u8
新少林五祖,http://jsmov2.a.yximgs.com/bs3/video-hls/5226990421752301001_hlsb.m3u8
永春,https://alimov2.a.kwimgs.com/upic/2023/05/30/06/BMjAyMzA1MzAwNjE5MThfMTE3NzE0ODMyNF8xMDQzMDMwNDI0MjNfMF8z_b_B12f6e0901603e46a9b4573adc915630a.mp4
一刀倾城,https://alimov2.a.kwimgs.com/upic/2020/05/15/21/BMjAyMDA1MTUyMTMyNDRfNzg2MDA0NzMxXzI4NjE0MjQyNzI0XzJfMw==_b_B12ab92069ba1451c414753f27d20a2ca.mp4
金刚骷髅岛,http://jsmov2.a.yximgs.com/bs3/video-hls/5230649520632871360_hlsb.m3u8
羞羞鬼,http://jsmov2.a.yximgs.com/bs3/video-hls//5229523697125974635_hlsb.m3u8
噬魂剑,http://jsmov2.a.yximgs.com/bs3/video-hls//5202783575206012433_hlsb.m3u8
倚天屠龙记之魔教教主,http://jsmov2.a.yximgs.com/bs3/video-hls/5218264700326446854_hlsb.m3u8
少林足球,http://jsmov2.a.yximgs.com/bs3/video-hls/5203065047959651388_hlsb.m3u8
中南海保镖,http://jsmov2.a.yximgs.com/bs3/video-hls/5191243094765815668_hlsb.m3u8
给爸爸的信,http://jsmov2.a.yximgs.com/bs3/video-hls//5224175673211197601_hlsb.m3u8
新仙鹤神针,http://jsmov2.a.yximgs.com/bs3/video-hls/5225020093331681192_hlsb.m3u8
寒战,http://jsmov2.a.yximgs.com/bs3/video-hls/5226990400735682590_hlsb.m3u8
太极张三丰,http://jsmov2.a.yximgs.com/bs3/video-hls/5236841968140880426_hlsb.m3u8
霍元甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5205598302789348106_hlsb.m3u8
双龙会,http://jsmov2.a.yximgs.com/bs3/video-hls/5199687336814310271_hlsb.m3u8
双龙会,https://alimov2.a.kwimgs.com/upic/2021/10/01/19/BMjAyMTEwMDExOTA1MDVfMTI0MzE0NjMyOF81ODE5NzY0NzAyOF8yXzM=_b_B6eb284159f267349ab21b64feb3d48ce.mp4
一个好人,http://jsmov2.a.yximgs.com/bs3/video-hls/5248663982858337076_hlsb.m3u8
《四大名捕》2012,https://txmov2.a.kwimgs.com/upic/2020/12/25/14/BMjAyMDEyMjUxNDM1MTJfNDAzMDAxOTlfNDEyNjQzODY5ODJfMF8z_b_B61e4b3069c98307be010773c799bdad6.mp4
九品芝麻官1994,https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTIyMTJfNDAzMDAxOTlfNjM2NjgxODA5MTBfMF8z_b_B6a0bcfcdbdaac183fa7dcbcd3e11bcaf.mp4
隐入尘烟,http://jsmov2.a.yximgs.com/bs3/video-hls/5194057840761439572_hlsb.m3u8
重案组,http://jsmov2.a.yximgs.com/bs3/video-hls/5238530899986631609_hlsb.m3u8
喜剧之王,http://jsmov2.a.yximgs.com/bs3/video-hls/5232056975277529648_hlsb.m3u8
唐人街探案1,http://jsmov2.a.yximgs.com/bs3/video-hls/5228679277451765996_hlsb.m3u8
唐人街探案3,https://alimov2.a.kwimgs.com/upic/2023/07/10/15/BMjAyMzA3MTAxNTI3NDJfMTcwNzIxNjA3NF8xMDc2MDgxODgxNzVfMF8z_b_B065bb95fed7a0ed5d6ad60d8a1752a61.mp4
叶问1,http://jsmov2.a.yximgs.com/bs3/video-hls/5220516421292450272_hlsb.m3u8
百团大战,https://alimov2.a.kwimgs.com/upic/2021/09/13/22/BMjAyMTA5MTMyMjUyMThfMTI0MzE0NjMyOF81NzEyNjM4OTIwMF8yXzM=_b_B4c255f476159ac81fe317c1de66fce0e.mp4
血战台儿庄,http://jsmov2.a.yximgs.com/bs3/video-hls/5242471549080321487_hlsb.m3u8
七七事变,http://jsmov2.a.yximgs.com/bs3/video-hls/5249789893098551463_hlsb.m3u8
举起手来,http://jsmov2.a.yximgs.com/bs3/video-hls/5200531695946611297_hlsb.m3u8
醉拳,https://txmov2.a.kwimgs.com/upic/2021/09/30/18/BMjAyMTA5MzAxODM1NTFfMTI0MzE0NjMyOF81ODEwNDc3MzAzOF8yXzM=_b_B1b01bbe5b567f842b3de0b78109d1907.mp4
